Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772618400,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,43.0,48.7,2.5,245.8,256
1772618401,10,,Aggregated,51.208000,1.000000,46,49,53,56,105,120,195,212,208,233,245,138,1,46.09229472399711,52.2022035595037,2.5,245.8,256
1772618402,20,,Aggregated,60.896000,1.500000,48,52,55,59,111,126,205,222,208,233,245,276,3,48.427487852010934,54.846945544021686,2.5,245.8,256
1772618403,30,,Aggregated,70.584000,1.666667,49,53,56,60,113,128,209,227,208,233,245,415,5,49.43384266359615,55.986700877142624,2.5,245.8,256
1772618404,40,,Aggregated,80.272000,1.500000,48,52,56,59,112,127,207,225,208,233,245,553,6,48.86496840302565,55.34241770296161,2.5,245.8,256
1772618405,50,,Aggregated,89.960000,1.600000,46,50,53,57,107,122,198,215,208,233,245,692,8,46.86014532947052,53.071839012679405,2.5,245.8,256
1772618406,50,,Aggregated,99.648000,1.666667,43,47,50,53,100,114,186,202,208,233,245,830,10,43.91022405198614,49.73088165887734,2.5,245.8,256
1772618407,50,,Aggregated,109.336000,1.571429,40,43,46,49,93,106,172,187,208,233,245,968,11,40.73744818140195,46.137528521727326,2.5,245.8,256
1772618408,50,,Aggregated,119.024000,1.625000,38,41,43,46,87,99,161,175,208,233,245,1107,13,38.11862390526387,43.17155777177559,2.5,245.8,256
1772618409,50,,Aggregated,128.712000,1.666667,36,39,42,44,84,95,155,168,208,233,245,1245,15,36.694930741060126,41.55914249045647,2.5,245.8,256
1772618410,50,,Aggregated,138.400000,1.600000,36,39,42,44,84,95,155,169,208,233,245,1384,16,36.81493842842276,41.69505817358578,2.5,245.8,256
1772618411,50,,Aggregated,138.400000,1.636364,38,41,44,46,88,100,162,177,208,233,245,1522,18,38.44926490007097,43.54602792170829,2.5,245.8,256
1772618412,50,,Aggregated,138.400000,1.666667,41,44,47,50,94,107,174,189,208,233,245,1660,20,41.19777003661693,46.65886978565685,2.5,245.8,256
1772618413,50,,Aggregated,138.400000,1.615385,44,47,51,54,101,115,188,204,208,233,245,1799,21,44.38752392316641,50.2714515129815,2.5,245.8,256
1772618414,50,,Aggregated,138.400000,1.642857,47,51,54,57,108,123,200,217,208,233,245,1937,23,47.23756356173619,53.499287103640754,2.5,245.8,256
1772618415,50,,Aggregated,138.400000,1.666667,49,52,56,59,112,127,207,225,208,233,245,2076,25,49.050099850197064,55.55208983033947,2.5,245.8,256
1772618416,50,,Aggregated,138.400000,1.625000,49,53,56,60,113,128,209,227,208,233,245,2214,26,49.38136069072081,55.927261991583805,2.5,245.8,256
1772618417,50,,Aggregated,138.400000,1.647059,48,52,55,58,110,125,203,221,208,233,245,2352,28,48.15024187642151,54.532948357714595,2.5,245.8,256
1772618418,50,,Aggregated,138.400000,1.666667,45,49,52,55,104,118,193,210,208,233,245,2491,30,45.65816422980933,51.71052553469103,2.5,245.8,256
1772618419,50,,Aggregated,138.400000,1.631579,42,45,48,51,97,110,180,195,208,233,245,2629,31,42.51527527302133,48.151021065026484,2.5,245.8,256
1772618420,50,,Aggregated,138.400000,1.650000,39,42,45,48,90,102,167,181,208,233,245,2768,33,39.491063834763565,44.725925784953155,2.5,245.8,256
1772618421,50,,Aggregated,138.400000,1.666667,37,40,42,45,85,97,158,171,208,233,245,2906,35,37.32596234818273,42.27382247340695,2.5,245.8,256
1772618422,50,,Aggregated,138.400000,1.636364,36,39,42,44,83,95,154,168,208,233,245,3044,36,36.550063167747965,41.39507154114711,2.5,245.8,256
1772618423,50,,Aggregated,138.400000,1.652174,37,40,42,45,85,97,158,171,208,233,245,3183,38,37.35333347325964,42.30482186390103,2.5,245.8,256
1772618424,50,,Aggregated,138.400000,1.666667,39,42,45,48,90,102,167,182,208,233,245,3321,40,39.53910467889719,44.78033483400682,2.5,245.8,256
1772618425,50,,Aggregated,138.400000,1.640000,42,45,48,51,97,110,180,196,208,233,245,3460,41,42.572223762084754,48.21551853984948,2.5,245.8,256
1772618426,50,,Aggregated,138.400000,1.653846,45,49,52,55,104,119,193,210,208,233,245,3598,43,45.71007738753183,51.76932020401862,2.5,245.8,256
1772618427,50,,Aggregated,138.400000,1.666667,48,52,55,58,110,125,204,221,208,233,245,3736,45,48.18440955125795,54.57164523595959,2.5,245.8,256
1772618428,50,,Aggregated,138.400000,1.642857,49,53,56,60,113,128,209,227,208,233,245,3875,46,49.38941744423192,55.936386733351036,2.5,245.8,256
1772618429,50,,Aggregated,138.400000,1.655172,49,52,56,59,112,127,207,225,208,233,245,4013,48,49.030073108134204,55.52940838060781,2.5,245.8,256
1772618430,50,,Aggregated,138.400000,1.666667,47,50,54,57,108,122,199,217,208,233,245,4152,50,47.1943565690134,53.45035267234774,2.5,245.8,256
1772618431,50,,Aggregated,138.400000,1.645161,44,47,50,54,101,115,187,204,208,233,245,4290,51,44.33171525849879,50.20824495555561,2.5,245.8,256
1772618432,50,,Aggregated,138.400000,1.656250,41,44,47,50,94,107,174,189,208,233,245,4428,53,41.14302360751033,46.596866271761705,2.5,245.8,256
1772618433,50,,Aggregated,138.400000,1.666667,38,41,44,46,88,100,162,176,208,233,245,4567,55,38.40898454171916,43.50040807399356,2.5,245.8,256
1772618434,50,,Aggregated,138.400000,1.647059,36,39,42,44,84,95,155,169,208,233,245,4705,56,36.79898617737686,41.67699132181984,2.5,245.8,256
1772618435,50,,Aggregated,138.400000,1.657143,36,39,42,44,84,95,155,169,208,233,245,4844,58,36.70721226473039,41.57305203005511,2.5,245.8,256
1772618436,50,,Aggregated,138.400000,1.666667,38,41,43,46,87,99,161,175,208,233,245,4982,60,38.156132258322685,43.214038162332905,2.5,245.8,256
1772618437,50,,Aggregated,138.400000,1.648649,40,44,46,49,93,106,172,187,208,233,245,5120,61,40.791000010871,46.198179082079484,2.5,245.8,256
1772618438,50,,Aggregated,138.400000,1.657895,43,47,50,53,100,114,186,202,208,233,245,5259,63,43.96670800232604,49.794853016587865,2.5,245.8,256
1772618439,50,,Aggregated,138.400000,1.666667,46,50,53,57,107,122,198,215,208,233,245,5397,65,46.905732159691425,53.12346874830169,2.5,245.8,256
1772618440,50,,Aggregated,138.400000,1.650000,48,52,56,59,112,127,207,225,208,233,245,5536,66,48.8884968671932,55.36906505656532,2.5,245.8,256
1772618441,50,,Aggregated,138.400000,1.658537,49,53,56,60,113,128,209,227,208,233,245,5674,68,49.42955217309825,55.98184164720663,2.5,245.8,256
1772618442,50,,Aggregated,138.400000,1.666667,48,52,55,59,110,126,205,222,208,233,245,5812,70,48.396428868557564,54.811769439505895,2.5,245.8,256
1772618443,50,,Aggregated,138.400000,1.651163,46,49,52,56,105,119,195,212,208,233,245,5951,71,46.042071569957564,52.1453229176031,2.5,245.8,256
1772618444,50,,Aggregated,138.400000,1.659091,42,46,49,52,98,111,181,197,208,233,245,6089,73,42.942909055076896,48.63534118563361,2.5,245.8,256
1772618445,50,,Aggregated,138.400000,1.666667,39,43,45,48,91,103,168,183,208,233,245,6228,75,39.85772439462971,45.14119018647598,2.5,245.8,256
1772618446,50,,Aggregated,138.400000,1.652174,37,40,43,45,86,97,159,172,208,233,245,6366,76,37.54187839307015,42.51835994750038,2.5,245.8,256
1772618447,50,,Aggregated,138.400000,1.659574,36,39,42,44,83,95,154,168,208,233,245,6504,78,36.562370919532896,41.40901078561051,2.5,245.8,256
1772618448,50,,Aggregated,138.400000,1.666667,37,40,42,45,85,96,157,171,208,233,245,6643,80,37.15901956505728,42.08475006554162,2.5,245.8,256
1772618449,50,,Aggregated,138.400000,1.653061,39,42,45,47,89,102,166,180,208,233,245,6781,81,39.18574393236995,44.38013324433527,2.5,245.8,256
1772618450,50,,Aggregated,138.400000,1.660000,42,45,48,51,96,109,178,194,208,233,245,6920,83,42.14633121186937,47.73317046553577,2.5,245.8,256
1772618451,50,,Aggregated,138.400000,1.666667,45,48,52,55,103,118,191,208,208,233,245,7058,85,45.315926383442985,51.32292127613194,2.5,245.8,256
1772618452,50,,Aggregated,138.400000,1.653846,47,51,55,58,109,124,202,220,208,233,245,7196,86,47.91850200559344,54.2704894807535,2.5,245.8,256
1772618453,50,,Aggregated,138.400000,1.660377,49,53,56,60,113,128,208,227,208,233,245,7335,88,49.31685679802026,55.85420758287412,2.5,245.8,256
1772618454,50,,Aggregated,138.400000,1.666667,49,53,56,59,112,128,208,226,208,233,245,7473,90,49.16862473820905,55.6863261569949,2.5,245.8,256
1772618455,50,,Aggregated,138.400000,1.654545,47,51,54,57,108,123,201,218,208,233,245,7612,91,47.510098204175385,53.8079484312405,2.5,245.8,256
1772618456,50,,Aggregated,138.400000,1.660714,44,48,51,54,102,116,189,206,208,233,245,7750,93,44.74734233458575,50.67896678358898,2.5,245.8,256
1772618457,50,,Aggregated,138.400000,1.666667,41,44,47,50,95,108,176,191,208,233,245,7888,95,41.55677612079516,47.065465048435456,2.5,245.8,256
1772618458,50,,Aggregated,138.400000,1.655172,38,41,44,47,88,100,164,178,208,233,245,8027,96,38.719561446826354,43.85215447582427,2.5,245.8,256
1772618459,50,,Aggregated,138.400000,1.661017,36,39,42,45,84,96,156,170,208,233,245,8165,98,36.93034741618795,41.82576556205473,2.5,245.8,256
1772618460,50,,Aggregated,138.400000,1.666667,36,39,42,44,83,95,155,168,208,233,245,8304,100,36.62719602460104,41.48242898600164,2.5,245.8,256
